Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
1,Die On This Hill,SIENNA SPIRO,2025-10-10,82,43,52,-5,25,3:37,76,42,2,5746,Sort Your Music.htm,2025-10-25 18:26:12,2gYTC8DsplN3RNdpdBcCOQ,spotify:track:2gYTC8DsplN3RNdpdBcCOQ,Die On This Hill,SIENNA SPIRO,Die On This Hill,2025-10-10,42,,https://open.spotify.com/track/2gYTC8DsplN3RNdpdBcCOQ,playlist
2,MAYBE.,SIENNA SPIRO,2025-10-10,95,35,56,-7,25,3:55,91,38,22,3723,Sort Your Music.htm,2025-10-25 18:26:12,62gBvs83UzqEmHr17OZ69g,spotify:track:62gBvs83UzqEmHr17OZ69g,MAYBE.,SIENNA SPIRO,Die On This Hill,2025-10-10,38,,https://open.spotify.com/track/62gBvs83UzqEmHr17OZ69g,playlist
3,You Stole The Show,SIENNA SPIRO,2025-10-10,118,23,48,-8,29,3:27,70,38,45,6942,Sort Your Music.htm,2025-10-25 18:26:12,4JQDlUXsAAjv9J7I5zC3tN,spotify:track:4JQDlUXsAAjv9J7I5zC3tN,You Stole The Show,SIENNA SPIRO,Die On This Hill,2025-10-10,38,,https://open.spotify.com/track/4JQDlUXsAAjv9J7I5zC3tN,playlist
4,Dream Police,SIENNA SPIRO,2025-10-10,130,67,66,-6,44,3:10,4,35,65,7360,Sort Your Music.htm,2025-10-25 18:26:12,28dklcm3EJZdGoO3ctUppc,spotify:track:28dklcm3EJZdGoO3ctUppc,Dream Police,SIENNA SPIRO,Die On This Hill,2025-10-10,35,,https://open.spotify.com/track/28dklcm3EJZdGoO3ctUppc,playlist
5,You You You,Maisie Peters,2025-10-09,125,32,56,-10,31,2:47,78,67,6,3263,Sort Your Music.htm,2025-10-25 18:26:12,0kHP8fxSPNPP40kRHtnfLB,spotify:track:0kHP8fxSPNPP40kRHtnfLB,You You You,Maisie Peters,You You You / Audrey Hepburn,2025-10-09,67,,https://open.spotify.com/track/0kHP8fxSPNPP40kRHtnfLB,playlist
6,Audrey Hepburn,Maisie Peters,2025-10-09,98,37,51,-9,20,3:07,79,65,60,7308,Sort Your Music.htm,2025-10-25 18:26:12,7hoPbfGuOZe6FKBlwB2d21,spotify:track:7hoPbfGuOZe6FKBlwB2d21,Audrey Hepburn,Maisie Peters,You You You / Audrey Hepburn,2025-10-09,65,,https://open.spotify.com/track/7hoPbfGuOZe6FKBlwB2d21,playlist
7,bittersweet,Madison Beer,2025-10-10,110,62,63,-7,18,3:23,74,79,3,3888,Sort Your Music.htm,2025-10-25 18:26:12,3A02hWQ2ebOFDWSbAMNnpw,spotify:track:3A02hWQ2ebOFDWSbAMNnpw,bittersweet,Madison Beer,bittersweet,2025-10-10,79,,https://open.spotify.com/track/3A02hWQ2ebOFDWSbAMNnpw,playlist
8,yes baby,Madison Beer,2025-10-10,134,87,55,-6,46,2:55,0,60,23,9215,Sort Your Music.htm,2025-10-25 18:26:12,32lZok3cXuDyo96lssEiek,spotify:track:32lZok3cXuDyo96lssEiek,yes baby,Madison Beer,bittersweet,2025-10-10,60,,https://open.spotify.com/track/32lZok3cXuDyo96lssEiek,playlist
9,This Is Who I Am - From “The Day of the Jackal”,Celeste,2024-11-06,118,42,50,-7,20,3:51,11,63,10,2410,Sort Your Music.htm,2025-10-25 18:26:12,63ZSKE6wZag6fV3YIfJc4d,spotify:track:63ZSKE6wZag6fV3YIfJc4d,This Is Who I Am - From “The Day of the Jackal”,Celeste,This Is Who I Am (From “The Day of the Jackal”),2024-11-06,63,,https://open.spotify.com/track/63ZSKE6wZag6fV3YIfJc4d,playlist
10,Fade Your Heart,Joy Crookes,2025-09-25,129,53,74,-9,77,3:34,5,54,1,299,Sort Your Music.htm,2025-10-25 18:26:12,6HQcCZwTjqVeFsDha9U6YN,spotify:track:6HQcCZwTjqVeFsDha9U6YN,Fade Your Heart,Joy Crookes,Fade Your Heart,2025-09-25,54,,https://open.spotify.com/track/6HQcCZwTjqVeFsDha9U6YN,playlist
11,Somebody To You,Joy Crookes,2025-09-25,112,57,77,-6,57,2:57,18,32,18,135,Sort Your Music.htm,2025-10-25 18:26:12,41I1qqSXswHPwV69iuJvpO,spotify:track:41I1qqSXswHPwV69iuJvpO,Somebody To You,Joy Crookes,Fade Your Heart,2025-09-25,32,,https://open.spotify.com/track/41I1qqSXswHPwV69iuJvpO,playlist
12,Perfect Crime,Joy Crookes,2025-09-25,109,43,95,-8,62,2:33,20,31,35,2911,Sort Your Music.htm,2025-10-25 18:26:12,5CTGKHBWvNf06P2TDbZM07,spotify:track:5CTGKHBWvNf06P2TDbZM07,Perfect Crime,Joy Crookes,Fade Your Heart,2025-09-25,31,,https://open.spotify.com/track/5CTGKHBWvNf06P2TDbZM07,playlist
13,I Know You'd Kill,Joy Crookes,2025-09-25,145,60,68,-7,73,2:54,3,30,52,5355,Sort Your Music.htm,2025-10-25 18:26:12,3HsAjuCfJhVz65lQKtWArD,spotify:track:3HsAjuCfJhVz65lQKtWArD,I Know You'd Kill,Joy Crookes,Fade Your Heart,2025-09-25,30,,https://open.spotify.com/track/3HsAjuCfJhVz65lQKtWArD,playlist
14,Feet Don't Fail Me Now,Joy Crookes,2025-09-25,113,84,66,-3,57,3:19,17,34,67,2747,Sort Your Music.htm,2025-10-25 18:26:12,1BBhjowlvat4NhusjKtGpa,spotify:track:1BBhjowlvat4NhusjKtGpa,Feet Don't Fail Me Now,Joy Crookes,Fade Your Heart,2025-09-25,34,,https://open.spotify.com/track/1BBhjowlvat4NhusjKtGpa,playlist
15,Avoidance,CHINCHILLA,2025-09-12,81,34,63,-6,34,3:35,66,21,0,1330,Sort Your Music.htm,2025-10-25 18:26:12,3hS6jPijyyFWazvgE01v0U,spotify:track:3hS6jPijyyFWazvgE01v0U,Avoidance,CHINCHILLA,Ok As I Am: The Trilogy,2025-09-12,21,,https://open.spotify.com/track/3hS6jPijyyFWazvgE01v0U,playlist
16,Ok As I Am,CHINCHILLA,2025-09-12,111,47,70,-8,11,3:58,17,22,9,7033,Sort Your Music.htm,2025-10-25 18:26:12,6YavXoOgyYbB3xIEOEGVDv,spotify:track:6YavXoOgyYbB3xIEOEGVDv,Ok As I Am,CHINCHILLA,Ok As I Am: The Trilogy,2025-09-12,22,,https://open.spotify.com/track/6YavXoOgyYbB3xIEOEGVDv,playlist
17,To Have & Hold,CHINCHILLA,2025-09-12,172,66,50,-7,40,2:25,37,44,17,1303,Sort Your Music.htm,2025-10-25 18:26:12,22PDvv48cuBcFlZfoBjntN,spotify:track:22PDvv48cuBcFlZfoBjntN,To Have & Hold,CHINCHILLA,Ok As I Am: The Trilogy,2025-09-12,44,,https://open.spotify.com/track/22PDvv48cuBcFlZfoBjntN,playlist
18,Terms & Conditions,CHINCHILLA,2021-08-13,83,86,65,-6,57,3:28,22,31,25,9191,Sort Your Music.htm,2025-10-25 18:26:12,4xv4zCoD6xLwEC2SmweSEM,spotify:track:4xv4zCoD6xLwEC2SmweSEM,Terms & Conditions,CHINCHILLA,Moon Maintenance For Dummies,2021-08-13,31,,https://open.spotify.com/track/4xv4zCoD6xLwEC2SmweSEM,playlist
19,Trigger,CHINCHILLA,2021-08-13,78,67,69,-6,50,3:20,33,50,34,1410,Sort Your Music.htm,2025-10-25 18:26:12,0vG5pWYQO5aSoKnSftLjBN,spotify:track:0vG5pWYQO5aSoKnSftLjBN,Trigger,CHINCHILLA,Moon Maintenance For Dummies,2021-08-13,50,,https://open.spotify.com/track/0vG5pWYQO5aSoKnSftLjBN,playlist
