Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
109,self destruct mode,Sody,2025-10-03,119,63,69,-6,51,2:42,31,47,123,9619,Sort Your Music.htm,2025-10-19 18:05:08,7KQXfLNFK9xtNAwhV4oupL,spotify:track:7KQXfLNFK9xtNAwhV4oupL,self destruct mode,Sody,THE HELL OF APRIL,2025-10-03,47,,https://open.spotify.com/track/7KQXfLNFK9xtNAwhV4oupL,high
110,i've tried so hard to hate you,Sody,2025-10-03,108,37,57,-11,64,1:01,84,33,135,3350,Sort Your Music.htm,2025-10-19 18:05:08,1mGw8Rr5ctyS6QuG5Vh69W,spotify:track:1mGw8Rr5ctyS6QuG5Vh69W,i've tried so hard to hate you,Sody,THE HELL OF APRIL,2025-10-03,33,,https://open.spotify.com/track/1mGw8Rr5ctyS6QuG5Vh69W,high
111,coward on the run,Sody,2025-10-03,113,37,63,-10,57,4:59,74,34,148,8190,Sort Your Music.htm,2025-10-19 18:05:08,5UuwhubJqtSZM7GqWJwW3a,spotify:track:5UuwhubJqtSZM7GqWJwW3a,coward on the run,Sody,THE HELL OF APRIL,2025-10-03,34,,https://open.spotify.com/track/5UuwhubJqtSZM7GqWJwW3a,high
112,it was never about the dishwasher,Sody,2025-10-03,135,24,56,-12,42,2:53,94,36,157,7055,Sort Your Music.htm,2025-10-19 18:05:08,65XlzJJVJ0ca9Za9aV00Oc,spotify:track:65XlzJJVJ0ca9Za9aV00Oc,it was never about the dishwasher,Sody,THE HELL OF APRIL,2025-10-03,36,,https://open.spotify.com/track/65XlzJJVJ0ca9Za9aV00Oc,high
113,why do i feel better when i hurt you?,Lola Young,2025-09-19,132,41,69,-11,59,3:47,36,68,149,3363,Sort Your Music.htm,2025-10-19 18:05:08,60OIgzRDXlX7H1XKWTz7N8,spotify:track:60OIgzRDXlX7H1XKWTz7N8,why do i feel better when i hurt you?,Lola Young,I’m Only F**king Myself,2025-09-19,68,,https://open.spotify.com/track/60OIgzRDXlX7H1XKWTz7N8,high
114,No Machine,Adrianne Lenker,2024-03-22,150,18,35,-11,33,3:00,98,54,94,8449,Sort Your Music.htm,2025-10-19 18:05:08,07LZPF6LzXu19GhVyqWF81,spotify:track:07LZPF6LzXu19GhVyqWF81,No Machine,Adrianne Lenker,Bright Future,2024-03-22,54,,https://open.spotify.com/track/07LZPF6LzXu19GhVyqWF81,high
115,Moon (Feat. Bon Iver),Daniel Caesar,2025-09-23,140,36,47,-12,17,5:17,79,74,95,5488,Sort Your Music.htm,2025-10-19 18:05:08,2RBvwQI858xReQpWSRO866,spotify:track:2RBvwQI858xReQpWSRO866,Moon (Feat. Bon Iver),"Daniel Caesar, Bon Iver",Moon,2025-09-23,74,,https://open.spotify.com/track/2RBvwQI858xReQpWSRO866,high
116,Find an Island,BENEE,2019-11-15,82,68,84,-4,85,3:13,28,55,97,210,Sort Your Music.htm,2025-10-19 18:05:08,4Ve0Jx7MXjU4aPrFHJRZK7,spotify:track:4Ve0Jx7MXjU4aPrFHJRZK7,Find an Island,BENEE,STELLA & STEVE,2019-11-15,55,,https://open.spotify.com/track/4Ve0Jx7MXjU4aPrFHJRZK7,high
117,You Can Close Your Eyes,Jacob Collier,2025-10-10,137,26,41,-12,20,3:57,91,53,5,3848,Sort Your Music.htm,2025-10-19 18:05:08,7zi19vkEnrpZOauDMJqxXr,spotify:track:7zi19vkEnrpZOauDMJqxXr,You Can Close Your Eyes,Jacob Collier,The Light For Days,2025-10-10,53,,https://open.spotify.com/track/7zi19vkEnrpZOauDMJqxXr,high
118,Heaven (Butterflies),Jacob Collier,2025-10-10,148,26,37,-14,38,4:57,89,57,17,9638,Sort Your Music.htm,2025-10-19 18:05:08,5JYiABJyzqRedaTMLCr0kP,spotify:track:5JYiABJyzqRedaTMLCr0kP,Heaven (Butterflies),Jacob Collier,Heaven (Butterflies),2025-10-08,52,,https://open.spotify.com/track/5JYiABJyzqRedaTMLCr0kP,high
119,Thom Thumb,Jacob Collier,2025-10-10,115,22,50,-15,16,1:44,87,51,32,2269,Sort Your Music.htm,2025-10-19 18:05:08,1lHE1Ou86eZUAURT2Rk1kI,spotify:track:1lHE1Ou86eZUAURT2Rk1kI,Thom Thumb,Jacob Collier,The Light For Days,2025-10-10,51,,https://open.spotify.com/track/1lHE1Ou86eZUAURT2Rk1kI,high
120,Fairytale Lullaby,Jacob Collier,2025-10-10,106,16,39,-14,53,3:08,92,51,47,812,Sort Your Music.htm,2025-10-19 18:05:08,1uezwAzcOP1gSmCju8tDQJ,spotify:track:1uezwAzcOP1gSmCju8tDQJ,Fairytale Lullaby,Jacob Collier,The Light For Days,2025-10-10,51,,https://open.spotify.com/track/1uezwAzcOP1gSmCju8tDQJ,high
