Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
1,Die On This Hill,SIENNA SPIRO,2025-10-10,82,43,52,-5,25,3:37,76,42,50,5587,Sort Your Music.htm,2025-10-25 17:56:45,0l72HGRQkAR0imHxvpLi8a,spotify:track:0l72HGRQkAR0imHxvpLi8a,Die On This Hill,SIENNA SPIRO,Die On This Hill,2025-10-10,74,,https://open.spotify.com/track/0l72HGRQkAR0imHxvpLi8a,high
2,MAYBE.,SIENNA SPIRO,2025-10-10,95,35,56,-7,25,3:55,91,38,222,6809,Sort Your Music.htm,2025-10-25 17:56:45,6yA2GnuThv4oDuEimu4Rmg,spotify:track:6yA2GnuThv4oDuEimu4Rmg,MAYBE.,SIENNA SPIRO,MAYBE.,2024-08-02,73,,https://open.spotify.com/track/6yA2GnuThv4oDuEimu4Rmg,high
3,You Stole The Show,SIENNA SPIRO,2025-10-10,118,23,48,-8,29,3:27,70,38,434,8096,Sort Your Music.htm,2025-10-25 17:56:45,23ZdNaFSfH7VdSVU4U0Agb,spotify:track:23ZdNaFSfH7VdSVU4U0Agb,You Stole The Show,SIENNA SPIRO,You Stole The Show,2025-07-25,71,,https://open.spotify.com/track/23ZdNaFSfH7VdSVU4U0Agb,high
4,Dream Police,SIENNA SPIRO,2025-10-10,130,67,66,-6,44,3:10,4,35,578,3261,Sort Your Music.htm,2025-10-25 17:56:45,28dklcm3EJZdGoO3ctUppc,spotify:track:28dklcm3EJZdGoO3ctUppc,Dream Police,SIENNA SPIRO,Die On This Hill,2025-10-10,35,,https://open.spotify.com/track/28dklcm3EJZdGoO3ctUppc,high
5,You You You,Maisie Peters,2025-10-09,125,32,56,-10,31,2:47,78,67,4,6785,Sort Your Music.htm,2025-10-25 17:56:45,0kHP8fxSPNPP40kRHtnfLB,spotify:track:0kHP8fxSPNPP40kRHtnfLB,You You You,Maisie Peters,You You You / Audrey Hepburn,2025-10-09,67,,https://open.spotify.com/track/0kHP8fxSPNPP40kRHtnfLB,high
6,Audrey Hepburn,Maisie Peters,2025-10-09,98,37,51,-9,20,3:07,79,65,31,8008,Sort Your Music.htm,2025-10-25 17:56:45,7hoPbfGuOZe6FKBlwB2d21,spotify:track:7hoPbfGuOZe6FKBlwB2d21,Audrey Hepburn,Maisie Peters,You You You / Audrey Hepburn,2025-10-09,65,,https://open.spotify.com/track/7hoPbfGuOZe6FKBlwB2d21,high
7,bittersweet,Madison Beer,2025-10-10,110,62,63,-7,18,3:23,74,79,11,2582,Sort Your Music.htm,2025-10-25 17:56:45,3A02hWQ2ebOFDWSbAMNnpw,spotify:track:3A02hWQ2ebOFDWSbAMNnpw,bittersweet,Madison Beer,bittersweet,2025-10-10,79,,https://open.spotify.com/track/3A02hWQ2ebOFDWSbAMNnpw,high
8,yes baby,Madison Beer,2025-10-10,134,87,55,-6,46,2:55,0,60,46,1169,Sort Your Music.htm,2025-10-25 17:56:45,2Nh1wIvPLDk4wK356m0nQA,spotify:track:2Nh1wIvPLDk4wK356m0nQA,yes baby,Madison Beer,yes baby,2025-09-19,77,,https://open.spotify.com/track/2Nh1wIvPLDk4wK356m0nQA,high
9,This Is Who I Am - From “The Day of the Jackal”,Celeste,2024-11-06,118,42,50,-7,20,3:51,11,63,9,629,Sort Your Music.htm,2025-10-25 17:56:45,63ZSKE6wZag6fV3YIfJc4d,spotify:track:63ZSKE6wZag6fV3YIfJc4d,This Is Who I Am - From “The Day of the Jackal”,Celeste,This Is Who I Am (From “The Day of the Jackal”),2024-11-06,63,,https://open.spotify.com/track/63ZSKE6wZag6fV3YIfJc4d,high
10,Fade Your Heart,Joy Crookes,2025-09-25,129,53,74,-9,77,3:34,5,54,5,5938,Sort Your Music.htm,2025-10-25 17:56:45,6HQcCZwTjqVeFsDha9U6YN,spotify:track:6HQcCZwTjqVeFsDha9U6YN,Fade Your Heart,Joy Crookes,Fade Your Heart,2025-09-25,54,,https://open.spotify.com/track/6HQcCZwTjqVeFsDha9U6YN,high
11,Somebody To You,Joy Crookes,2025-09-25,112,57,77,-6,57,2:57,18,32,32,4294,Sort Your Music.htm,2025-10-25 17:56:45,7oBgMg32SnVnS3IIbqf8AE,spotify:track:7oBgMg32SnVnS3IIbqf8AE,Somebody To You,Joy Crookes,Somebody To You,2025-08-13,57,,https://open.spotify.com/track/7oBgMg32SnVnS3IIbqf8AE,high
12,Perfect Crime,Joy Crookes,2025-09-25,109,43,95,-8,62,2:33,20,31,48,7564,Sort Your Music.htm,2025-10-25 17:56:45,6AiKuKk65VfgMUR9DpW9xG,spotify:track:6AiKuKk65VfgMUR9DpW9xG,Perfect Crime,Joy Crookes,Juniper,2025-09-19,50,,https://open.spotify.com/track/6AiKuKk65VfgMUR9DpW9xG,high
13,I Know You'd Kill,Joy Crookes,2025-09-25,145,60,68,-7,73,2:54,3,30,69,1178,Sort Your Music.htm,2025-10-25 17:56:45,5Ke7X457DQP91cqKKyH6f0,spotify:track:5Ke7X457DQP91cqKKyH6f0,I Know You'd Kill,Joy Crookes,Juniper,2025-09-19,48,,https://open.spotify.com/track/5Ke7X457DQP91cqKKyH6f0,high
14,Feet Don't Fail Me Now,Joy Crookes,2025-09-25,113,84,66,-3,57,3:19,17,34,89,5556,Sort Your Music.htm,2025-10-25 17:56:45,1GVkrFVc94CTjm9bdSmGjp,spotify:track:1GVkrFVc94CTjm9bdSmGjp,Feet Don't Fail Me Now,Joy Crookes,Feet Don't Fail Me Now,2021-06-16,68,,https://open.spotify.com/track/1GVkrFVc94CTjm9bdSmGjp,high
15,Avoidance,CHINCHILLA,2025-09-12,81,34,63,-6,34,3:35,66,21,34,1196,Sort Your Music.htm,2025-10-25 17:56:45,2gKN2KJMCtq5SirBHxXixK,spotify:track:2gKN2KJMCtq5SirBHxXixK,Avoidance,CHINCHILLA,Avoidance,2025-06-05,36,,https://open.spotify.com/track/2gKN2KJMCtq5SirBHxXixK,high
16,Ok As I Am,CHINCHILLA,2025-09-12,111,47,70,-8,11,3:58,17,22,91,4974,Sort Your Music.htm,2025-10-25 17:56:45,2iryktb1yf3VsLIA27FUqK,spotify:track:2iryktb1yf3VsLIA27FUqK,Ok As I Am,CHINCHILLA,Ok As I Am,2025-08-01,42,,https://open.spotify.com/track/2iryktb1yf3VsLIA27FUqK,high
17,To Have & Hold,CHINCHILLA,2025-09-12,172,66,50,-7,40,2:25,37,44,162,1382,Sort Your Music.htm,2025-10-25 17:56:45,22PDvv48cuBcFlZfoBjntN,spotify:track:22PDvv48cuBcFlZfoBjntN,To Have & Hold,CHINCHILLA,Ok As I Am: The Trilogy,2025-09-12,44,,https://open.spotify.com/track/22PDvv48cuBcFlZfoBjntN,high
18,Terms & Conditions,CHINCHILLA,2021-08-13,83,86,65,-6,57,3:28,22,31,244,9714,Sort Your Music.htm,2025-10-25 17:56:45,4xv4zCoD6xLwEC2SmweSEM,spotify:track:4xv4zCoD6xLwEC2SmweSEM,Terms & Conditions,CHINCHILLA,Moon Maintenance For Dummies,2021-08-13,31,,https://open.spotify.com/track/4xv4zCoD6xLwEC2SmweSEM,high
19,Trigger,CHINCHILLA,2021-08-13,78,67,69,-6,50,3:20,33,50,325,6986,Sort Your Music.htm,2025-10-25 17:56:45,0vG5pWYQO5aSoKnSftLjBN,spotify:track:0vG5pWYQO5aSoKnSftLjBN,Trigger,CHINCHILLA,Moon Maintenance For Dummies,2021-08-13,50,,https://open.spotify.com/track/0vG5pWYQO5aSoKnSftLjBN,high
20,Who's Your Mummy,CHINCHILLA,2021-08-13,120,65,81,-8,92,2:59,3,32,393,7494,Sort Your Music.htm,2025-10-25 17:56:45,2YhWnSTpMyuLyHK9QVQpdL,spotify:track:2YhWnSTpMyuLyHK9QVQpdL,Who's Your Mummy,CHINCHILLA,Moon Maintenance For Dummies,2021-08-13,32,,https://open.spotify.com/track/2YhWnSTpMyuLyHK9QVQpdL,high
21,Round Town (feat. Ren) - Skit,CHINCHILLA,2021-08-13,180,74,66,-7,75,2:15,25,39,475,3929,Sort Your Music.htm,2025-10-25 17:56:45,77KBPKsDuT0Q6rppVEu7NE,spotify:track:77KBPKsDuT0Q6rppVEu7NE,Round Town (feat. Ren) - Skit,"CHINCHILLA, Ren",Moon Maintenance For Dummies,2021-08-13,39,,https://open.spotify.com/track/77KBPKsDuT0Q6rppVEu7NE,high
22,Fingers,CHINCHILLA,2021-08-13,80,65,56,-8,23,2:52,2,20,537,6279,Sort Your Music.htm,2025-10-25 17:56:45,18xDrcxULlbSHZgUDndZU7,spotify:track:18xDrcxULlbSHZgUDndZU7,Fingers,CHINCHILLA,Fingers,2021-05-14,42,,https://open.spotify.com/track/18xDrcxULlbSHZgUDndZU7,high
23,Million Dollar Multicolour Bliss,CHINCHILLA,2021-08-13,93,28,80,-13,30,3:31,64,28,594,860,Sort Your Music.htm,2025-10-25 17:56:45,3PB3H5raUm7II7Q5DuI8Zc,spotify:track:3PB3H5raUm7II7Q5DuI8Zc,Million Dollar Multicolour Bliss,CHINCHILLA,Moon Maintenance For Dummies,2021-08-13,28,,https://open.spotify.com/track/3PB3H5raUm7II7Q5DuI8Zc,high
24,Chalk Outlines,Ren,2021-12-15,121,32,69,-8,24,3:54,74,66,51,6845,Sort Your Music.htm,2025-10-25 17:56:45,3EQ5NMRe6yUdjKNpRwiYFp,spotify:track:3EQ5NMRe6yUdjKNpRwiYFp,Chalk Outlines,"Ren, CHINCHILLA",Chalk Outlines,2021-12-15,66,,https://open.spotify.com/track/3EQ5NMRe6yUdjKNpRwiYFp,high
25,How to Be Me,Ren,2019-12-24,180,21,45,-10,36,3:48,90,36,337,998,Sort Your Music.htm,2025-10-25 17:56:45,1HVTKILoFFGViLNRozaQd0,spotify:track:1HVTKILoFFGViLNRozaQd0,How to Be Me,"Ren, CHINCHILLA",How to Be Me,2019-12-24,57,,https://open.spotify.com/track/1HVTKILoFFGViLNRozaQd0,high
26,End,Jackie's Boy,2020-09-21,103,68,76,-5,55,2:43,67,38,132,2931,Sort Your Music.htm,2025-10-25 17:56:45,6RqKHririQ7VbG6wRzjZSC,spotify:track:6RqKHririQ7VbG6wRzjZSC,End,"Jackie's Boy, Naïka","The Black Chapter, Vol. 1",2020-09-21,38,,https://open.spotify.com/track/6RqKHririQ7VbG6wRzjZSC,high
27,yoyo,piri & tommy,2024-11-08,88,72,76,-7,56,2:37,55,35,147,6740,Sort Your Music.htm,2025-10-25 17:56:45,6DNVY8fSGfbK28aO0qhIbG,spotify:track:6DNVY8fSGfbK28aO0qhIbG,yoyo,"piri & tommy, piri, Tommy Villiers, DJ Marky",about dancing,2024-11-08,35,,https://open.spotify.com/track/6DNVY8fSGfbK28aO0qhIbG,high
