Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
69,Cure for Emptiness (with Bello),Matt Maltese,2025-10-03,130,20,64,-14,36,3:21,97,21,68,1499,Sort Your Music.html,2025-10-04 23:02:12,0PsLWRlhGxICKhJtT6U8ya,spotify:track:0PsLWRlhGxICKhJtT6U8ya,Cure for Emptiness (with Bello),"Matt Maltese, Bello",Cure for Emptiness (with Bello),2025-10-03,21,,https://open.spotify.com/track/0PsLWRlhGxICKhJtT6U8ya,high
70,ZERO CONCERTO,Shuta Hasunuma,2025-10-01,108,79,74,-8,43,8:26,24,21,69,7678,Sort Your Music.html,2025-10-04 23:02:12,3FjkHy2Ob06bxBYafjNdrP,spotify:track:3FjkHy2Ob06bxBYafjNdrP,ZERO CONCERTO,Shuta Hasunuma,ZERO CONCERTO,2025-10-01,21,,https://open.spotify.com/track/3FjkHy2Ob06bxBYafjNdrP,high
71,the NOISE (Contains a Samples of 夜に駆ける),LE SSERAFIM,2025-09-26,105,77,70,-5,70,3:44,5,60,71,9581,Sort Your Music.html,2025-10-04 23:02:12,1uB20TujpjHQZpFRxsbnI7,spotify:track:1uB20TujpjHQZpFRxsbnI7,the NOISE (Contains a Samples of 夜に駆ける),"LE SSERAFIM, YOASOBI",the NOISE (Contains a Samples of 夜に駆ける),2025-09-26,60,,https://open.spotify.com/track/1uB20TujpjHQZpFRxsbnI7,high
72,Hazbin Guarantee (Trust Us),Hazbin Hotel,2025-10-01,151,69,72,-5,69,3:25,15,53,72,2424,Sort Your Music.html,2025-10-04 23:02:12,7LCh5bMM6wTesqS6772TcN,spotify:track:7LCh5bMM6wTesqS6772TcN,Hazbin Guarantee (Trust Us),"Hazbin Hotel, Erika Henningsen, Christian Borle, Joel Perez, Lilli Cooper, Stephanie Beatriz, Kevin Del Aguila, Krystina Alabado, Keith David, Kimiko Glenn",Hazbin Guarantee (Trust Us),2025-10-01,53,,https://open.spotify.com/track/7LCh5bMM6wTesqS6772TcN,high
73,DON'T CRY,ExWHYZ,2025-10-03,139,87,69,-4,20,3:50,14,20,77,9320,Sort Your Music.html,2025-10-04 23:02:12,72V9hq7ofiWKjDtBujqPwj,spotify:track:72V9hq7ofiWKjDtBujqPwj,DON'T CRY,"ExWHYZ, DONGROSSO",DON'T CRY,2025-10-03,20,,https://open.spotify.com/track/72V9hq7ofiWKjDtBujqPwj,high
74,Money Train,Peacemode,2025-10-03,98,52,56,-6,53,2:36,81,14,78,5283,Sort Your Music.html,2025-10-04 23:02:12,3tcMEGGAmdxWMBynanKUS8,spotify:track:3tcMEGGAmdxWMBynanKUS8,Money Train,"Peacemode, Jonah Kagen",The Heart & The Hope,2025-10-03,14,,https://open.spotify.com/track/3tcMEGGAmdxWMBynanKUS8,high
75,I. Allegro moderato - 1954 Version,Ludwig van Beethoven,2025-10-03,104,16,28,-18,7,17:00,97,6,80,1105,Sort Your Music.html,2025-10-04 23:02:12,2qJLe8x2bOjJzYPdsw67fs,spotify:track:2qJLe8x2bOjJzYPdsw67fs,I. Allegro moderato - 1954 Version,"Ludwig van Beethoven, Paul van Kempen, Wilhelm Kempff, Berliner Philharmoniker",The Art of Paul van Kempen: Beethoven Concertos (1953 Recordings),2025-10-03,6,,https://open.spotify.com/track/2qJLe8x2bOjJzYPdsw67fs,high
76,Wrong Signal,Paulina,2025-10-01,96,72,70,-7,56,3:15,32,7,81,4459,Sort Your Music.html,2025-10-04 23:02:12,5TbWkvUvkNYL4JgKftu3xm,spotify:track:5TbWkvUvkNYL4JgKftu3xm,Wrong Signal,"Paulina, Tom Thum",Wrong Signal,2025-10-01,7,,https://open.spotify.com/track/5TbWkvUvkNYL4JgKftu3xm,high
77,Let Alone The One You Love,Olivia Dean,2025-09-26,82,42,55,-8,31,3:06,70,76,1,4488,Sort Your Music.html,2025-10-04 23:02:12,3Vd4fHzwS6pBS3muymjiDi,spotify:track:3Vd4fHzwS6pBS3muymjiDi,Let Alone The One You Love,Olivia Dean,The Art of Loving,2025-09-26,76,,https://open.spotify.com/track/3Vd4fHzwS6pBS3muymjiDi,high
78,I'M SO DRUNK RIGHT NOW,Lilyisthatyou,2025-09-26,105,79,78,-5,40,1:57,26,46,82,7981,Sort Your Music.html,2025-10-04 23:02:12,0EOTmpAuNfrAKVfcpihnZz,spotify:track:0EOTmpAuNfrAKVfcpihnZz,I'M SO DRUNK RIGHT NOW,Lilyisthatyou,LILITH,2025-09-26,46,,https://open.spotify.com/track/0EOTmpAuNfrAKVfcpihnZz,high
79,Post Sex Clarity,Lola Young,2025-09-19,148,46,52,-7,52,4:22,13,76,87,4751,Sort Your Music.html,2025-10-04 23:02:12,1n4Y7LSSZ38HgEdpPpivpg,spotify:track:1n4Y7LSSZ38HgEdpPpivpg,Post Sex Clarity,Lola Young,I’m Only F**king Myself,2025-09-19,76,,https://open.spotify.com/track/1n4Y7LSSZ38HgEdpPpivpg,high
80,Pull Me In,Labrinth,2025-09-19,136,91,52,-5,11,2:37,40,61,89,5850,Sort Your Music.html,2025-10-04 23:02:12,5bnzXLwElvAHS6v0azPfrb,spotify:track:5bnzXLwElvAHS6v0azPfrb,Pull Me In,Labrinth,Prelude,2025-09-19,61,,https://open.spotify.com/track/5bnzXLwElvAHS6v0azPfrb,high
81,Mood Swings - Mixed,Little Simz,2025-09-12,135,76,72,-8,35,2:23,4,47,90,5461,Sort Your Music.html,2025-10-04 23:02:12,79qDEriNSglmbZC6isY0Jv,spotify:track:79qDEriNSglmbZC6isY0Jv,Mood Swings - Mixed,Little Simz,DJ-Kicks: Modeselektor,2025-09-12,47,,https://open.spotify.com/track/79qDEriNSglmbZC6isY0Jv,high
82,Strangers (feat. Cory Wong),Ripe,2025-09-19,170,80,54,-6,57,4:24,0,42,91,3808,Sort Your Music.html,2025-10-04 23:02:12,09qY1lbeUIq59Ydojxx6bH,spotify:track:09qY1lbeUIq59Ydojxx6bH,Strangers (feat. Cory Wong),"Ripe, Cory Wong",Strangers (feat. Cory Wong),2025-09-05,44,,https://open.spotify.com/track/09qY1lbeUIq59Ydojxx6bH,high
83,Scandalous - SIDE A,Sophie Morelli,2025-09-05,118,56,56,-6,43,3:06,52,26,92,6085,Sort Your Music.html,2025-10-04 23:02:12,0X26HQqpjJ6Th9vFcgl41T,spotify:track:0X26HQqpjJ6Th9vFcgl41T,Scandalous - SIDE A,Sophie Morelli,Scandalous,2025-09-05,26,,https://open.spotify.com/track/0X26HQqpjJ6Th9vFcgl41T,high
84,The Scythe,The Last Dinner Party,2025-09-05,98,48,34,-8,4,4:45,2,66,93,3513,Sort Your Music.html,2025-10-04 23:02:12,6VlV6vwhHedxxBumKM5J4s,spotify:track:6VlV6vwhHedxxBumKM5J4s,The Scythe,The Last Dinner Party,The Scythe,2025-09-05,54,,https://open.spotify.com/track/6VlV6vwhHedxxBumKM5J4s,high
85,One Way,Twenty One Pilots,2025-09-12,96,69,62,-6,62,2:43,1,77,98,4744,Sort Your Music.html,2025-10-04 23:02:12,5QzlDlRuT9D5LdpybJoNYi,spotify:track:5QzlDlRuT9D5LdpybJoNYi,One Way,Twenty One Pilots,Breach,2025-09-12,77,,https://open.spotify.com/track/5QzlDlRuT9D5LdpybJoNYi,high
86,Killer Asteroid,Epic Mountain,2025-09-16,120,51,62,-12,4,11:14,34,33,99,3675,Sort Your Music.html,2025-10-04 23:02:12,0rMiFaJQncKYpwp08GRxb3,spotify:track:0rMiFaJQncKYpwp08GRxb3,Killer Asteroid,Epic Mountain,Killer Asteroid,2025-09-16,33,,https://open.spotify.com/track/0rMiFaJQncKYpwp08GRxb3,high
