Order,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Popularity,Artist_Separation,Random,Source_HTML,Processed_Date,Spotify_Track_ID,Spotify_URI,Spotify_Track_Name,Spotify_Artists,Spotify_Album,Spotify_Release_Date,Spotify_Popularity,Preview_URL,Spotify_URL,Match_Confidence
104,Home Soon,DOPE LEMON,2017-03-03,94.0,74.0,70.0,-7.0,96.0,2:58,51.0,59.0,94.0,9152.0,Sort Your Music.html,2025-10-04 23:08:20,7C5Ria90yxc4a0REG1D23U,spotify:track:7C5Ria90yxc4a0REG1D23U,Home Soon,DOPE LEMON,Hounds Tooth,2017-03-03,59,,https://open.spotify.com/track/7C5Ria90yxc4a0REG1D23U,high
106,Hold The Line,Sammy Rae & The Friends,2025-07-23,107.0,77.0,41.0,-5.0,84.0,3:57,16.0,40.0,111.0,7721.0,Sort Your Music.html,2025-10-04 23:08:20,35I1mmcO5MHzkCK9PVZOqj,spotify:track:35I1mmcO5MHzkCK9PVZOqj,Hold The Line,Sammy Rae & The Friends,Songs We Wish We Wrote,2025-07-23,40,,https://open.spotify.com/track/35I1mmcO5MHzkCK9PVZOqj,high
107,Sweet Iced Tea,Stephen Day,2025-05-09,95.0,65.0,69.0,-5.0,67.0,2:29,10.0,53.0,96.0,4276.0,Sort Your Music.html,2025-10-04 23:08:20,6pg06hrusY9aDsdQdmRvRh,spotify:track:6pg06hrusY9aDsdQdmRvRh,Sweet Iced Tea,"Stephen Day, Allen Stone",Sweet Iced Tea,2025-05-09,53,,https://open.spotify.com/track/6pg06hrusY9aDsdQdmRvRh,high
108,Blow Away,Caitlin Byk,2025-06-21,80.0,74.0,75.0,-3.0,94.0,2:40,11.0,42.0,97.0,6564.0,Sort Your Music.html,2025-10-04 23:08:20,0699gIdgTyh4w7Sd70UCSD,spotify:track:0699gIdgTyh4w7Sd70UCSD,Blow Away,Caitlin Byk,Blow Away,2025-06-21,42,,https://open.spotify.com/track/0699gIdgTyh4w7Sd70UCSD,high
109,God is Change,Emily Elbert,2025-05-07,123.0,65.0,63.0,-6.0,56.0,2:45,27.0,17.0,98.0,5296.0,Sort Your Music.html,2025-10-04 23:08:20,4vomxnnSitBLiK22vCkVhu,spotify:track:4vomxnnSitBLiK22vCkVhu,God is Change,Emily Elbert,God is Change,2025-05-07,17,,https://open.spotify.com/track/4vomxnnSitBLiK22vCkVhu,high
110,Happy Pills,Niina Soleil,2024-05-15,122.0,75.0,72.0,-5.0,75.0,2:47,5.0,24.0,99.0,97.0,Sort Your Music.html,2025-10-04 23:08:20,6UCY0NwiCSsZPh2wBouF5D,spotify:track:6UCY0NwiCSsZPh2wBouF5D,Happy Pills,Niina Soleil,Heliophilia,2024-05-15,24,,https://open.spotify.com/track/6UCY0NwiCSsZPh2wBouF5D,high
111,"Pale, Pale Moon",Jayme Lawson,2025-04-18,107.0,66.0,69.0,-8.0,84.0,4:45,63.0,57.0,100.0,8540.0,Sort Your Music.html,2025-10-04 23:08:20,3gpofCUBcNhtLy2mN0ioE5,spotify:track:3gpofCUBcNhtLy2mN0ioE5,"Pale, Pale Moon","Jayme Lawson, Sinners Movie",Sinners (Original Motion Picture Soundtrack),2025-04-18,57,,https://open.spotify.com/track/3gpofCUBcNhtLy2mN0ioE5,high
112,I Think I Like When It Rains,WILLIS,2017-06-12,124.0,46.0,62.0,-7.0,27.0,4:38,4.0,3.0,101.0,9670.0,Sort Your Music.html,2025-10-04 23:08:20,1Roq03sTKb6TPKBY89YJ4v,spotify:track:1Roq03sTKb6TPKBY89YJ4v,I Think I Like When It Rains,WILLIS,Locals 2,2017-06-12,72,,https://open.spotify.com/track/1Roq03sTKb6TPKBY89YJ4v,high
114,Jungle,Tash Sultana,2017-03-01,146.0,70.0,59.0,-6.0,51.0,5:16,28.0,70.0,114.0,959.0,Sort Your Music.html,2025-10-04 23:08:20,1KTObLMW9mwk2iPjP3daHb,spotify:track:1KTObLMW9mwk2iPjP3daHb,Jungle,Tash Sultana,Notion,2017-03-01,70,,https://open.spotify.com/track/1KTObLMW9mwk2iPjP3daHb,high
115,If I Die Tomorrow,Chloe Adams,2025-01-10,97.0,76.0,49.0,-5.0,52.0,2:58,27.0,43.0,102.0,9659.0,Sort Your Music.html,2025-10-04 23:08:20,0ybFLlfjdXg0ZYGceAJEwJ,spotify:track:0ybFLlfjdXg0ZYGceAJEwJ,If I Die Tomorrow,Chloe Adams,If I Die Tomorrow,2025-01-10,43,,https://open.spotify.com/track/0ybFLlfjdXg0ZYGceAJEwJ,high
